구별,일반가구수,1인,4인 이상,평균가구원수,1인 비율,4인이상 비율,인구수,내국인,외국인,고령자,외국인비율,고령자비율,오차
종로구,62652,24671,11477,2.1804092447168486,39.37783310987678,18.318649045521294,159842,149952,9890,28396,6.187360018017793,17.765042979942695,1.8677268939695653
중구,54496,22078,8912,2.1219722548443922,40.51306517909571,16.353493834409864,135321,125800,9521,24265,7.035862874202821,17.93143710141072,2.449668394475496
용산구,93177,35148,16452,2.1908947487040793,37.72175536881419,17.656717859557617,244953,229786,15167,39995,6.191800059603271,16.32762203361461,2.2610269226335893
성동구,122770,41488,25041,2.307233037386984,33.793271971980126,20.396676712551926,302695,295591,7104,45372,2.346916863509473,14.989345711029253,0.6614176915908585
광진구,149905,58714,29187,2.212434541876522,39.16747273273073,19.470331209766183,361923,348064,13859,50047,3.8292675513852394,13.828079453364388,0.4409713132568047
동대문구,148349,58152,28747,2.209674483818563,39.19945533842493,19.37795333975962,358679,344416,14263,61408,3.9765361228284903,17.12060087153137,0.301212507405237
중랑구,160776,52196,33421,2.3295703338806786,32.465044534010055,20.78730656316863,400989,395997,4992,68658,1.2449219305267725,17.122165445934925,1.4515344490749797
성북구,176729,57832,39797,2.3668950766427694,32.72354848383684,22.518658511053648,449871,439719,10152,73370,2.256646905446228,16.309119725432403,0.5005082204141971
강북구,128012,42791,25405,2.297065900071868,33.42733493734962,19.845795706652503,313550,309996,3554,62951,1.1334715356402487,20.076861744538352,1.7889381458688973
도봉구,126831,32653,30027,2.483107442186847,25.74528309325007,23.674811363152543,329300,327248,2052,61388,0.6231399939265108,18.641967810507136,0.4954639200366284
노원구,201458,53365,50320,2.5061154185984176,26.489392329914917,24.977911028601497,529532,525486,4046,84612,0.7640709154498689,15.97863774049538,0.5292556585550995
은평구,184890,52814,41568,2.420871869760398,28.56509275785602,22.482557196170696,485842,481546,4296,84353,0.8842380856327778,17.362228872761104,0.8964791594588093
서대문구,128635,46449,25966,2.2691957865277725,36.10914603335018,20.18579702258328,323860,313212,10648,53869,3.287840424874946,16.633421848947076,0.2642794461261202
마포구,156885,59248,29831,2.2225451764030977,37.76524205628326,19.014564808617777,383494,373508,9986,54053,2.603952082692298,14.09487501760132,1.337032068113282
양천구,162867,36345,46206,2.6385455617160014,22.315754572749544,28.370388108088196,460048,456240,3808,64804,0.8277397141167878,14.086356206308906,0.5144158803699629
강서구,240135,79371,50535,2.3288899993753516,33.05265787994253,21.044412517958648,589536,583544,5992,88052,1.0163925527872768,14.935813928241872,1.81804002952575
구로구,160378,47740,36594,2.407711780917582,29.767175048946864,22.817344024741548,435751,405579,30172,69312,6.924137867727211,15.906331827121454,4.861162312780552
금천구,99315,37778,18669,2.2135931128228363,38.03856416452701,18.797764688113578,249641,232157,17484,39361,7.003657251813604,15.767041471553151,2.9984949354276162
영등포구,153923,58214,28847,2.218271473399037,37.82020880570155,18.741188776206286,405982,375630,30352,60826,7.476193525821342,14.982437645018745,3.5223027529783035
동작구,164963,60088,33326,2.2697210889714663,36.42513775816395,20.20210592678358,404617,393554,11063,64674,2.734190604942452,15.984004626597498,0.8921265908467428
관악구,242154,119863,34039,1.9520676924601699,49.498666138077425,14.05675727016692,514555,498574,15981,78206,3.105790440283352,15.198763980526863,3.5902933194971194
서초구,155377,42667,41095,2.5190858363850506,27.46030622292875,26.44857346968985,429995,426009,3986,59495,0.9269875231107338,13.83620739776044,0.5943172155240486
강남구,206524,66073,47982,2.388991109992059,31.992891867289032,23.233135131994345,544085,539235,4850,73942,0.8914048356414899,13.590155949897534,1.6941864104415707
송파구,252212,68861,62942,2.494476868666043,27.302824607869567,24.95598940573803,676673,670331,6342,92149,0.9372326071824943,13.61795135907595,0.5470942183515843
강동구,162976,45188,39892,2.4749104162576083,27.726781857451403,24.477223640290596,462275,458058,4217,68798,0.9122275701692715,14.882483370288249,0.6716477285472733
